epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,6257.39,0.88392,0.57645,1.02497,0.76395,0.80238,0.77478,0.53396,1.16988,0.95438,1.16166,0.0074656,0.0074656,0.0074656
130,6305.87,0.9063,0.58033,1.04472,0.75532,0.80001,0.77824,0.54099,1.16145,0.92291,1.1605,0.0074458,0.0074458,0.0074458
131,6354.2,0.94255,0.59895,1.06812,0.76367,0.79936,0.77624,0.5409,1.17438,0.97116,1.16203,0.007426,0.007426,0.007426
132,6403.73,0.89945,0.57274,1.03729,0.76935,0.797,0.77832,0.54014,1.17324,0.97968,1.15735,0.0074062,0.0074062,0.0074062
133,6451.97,0.92379,0.60618,1.05693,0.77477,0.79311,0.77944,0.54615,1.16581,0.9438,1.15015,0.0073864,0.0073864,0.0073864
134,6499.8,0.918,0.58323,1.04515,0.7818,0.78687,0.78003,0.54518,1.15911,0.93465,1.14681,0.0073666,0.0073666,0.0073666
135,6547.91,0.89645,0.58021,1.03163,0.75903,0.78995,0.77887,0.54845,1.1543,0.93295,1.14973,0.0073468,0.0073468,0.0073468
136,6596.06,0.90132,0.58705,1.03898,0.75864,0.79387,0.77302,0.53904,1.15902,0.94158,1.15082,0.007327,0.007327,0.007327
137,6644.93,0.90555,0.58712,1.04552,0.76518,0.79184,0.7726,0.53788,1.15724,0.93146,1.1536,0.0073072,0.0073072,0.0073072
138,6694.16,0.90701,0.57229,1.03765,0.78243,0.78386,0.7775,0.53243,1.16418,0.93555,1.16231,0.0072874,0.0072874,0.0072874
139,6742.72,0.90918,0.57955,1.04416,0.76578,0.78353,0.76881,0.52604,1.16438,0.94016,1.16417,0.0072676,0.0072676,0.0072676
140,6791.08,0.90563,0.57654,1.03252,0.76451,0.77945,0.77209,0.52214,1.16539,0.94011,1.16602,0.0072478,0.0072478,0.0072478
141,6839.55,0.89559,0.59011,1.0259,0.75837,0.78181,0.77361,0.53006,1.16431,0.96418,1.16501,0.007228,0.007228,0.007228
142,6887.39,0.91737,0.58809,1.03491,0.75095,0.78908,0.7705,0.52922,1.16734,0.96776,1.16736,0.0072082,0.0072082,0.0072082
143,6936.08,0.89806,0.56412,1.03419,0.74833,0.78755,0.76907,0.53397,1.16616,0.97119,1.16525,0.0071884,0.0071884,0.0071884
144,6984.6,0.89677,0.56726,1.03225,0.75275,0.79085,0.77034,0.53426,1.16288,0.96523,1.16372,0.0071686,0.0071686,0.0071686
145,7032.87,0.89223,0.56113,1.03614,0.77137,0.79388,0.77619,0.53817,1.17062,0.96831,1.1696,0.0071488,0.0071488,0.0071488
146,7081.07,0.9025,0.57707,1.02885,0.77692,0.79248,0.77621,0.53615,1.17393,0.97958,1.16689,0.007129,0.007129,0.007129
147,7129.56,0.89128,0.56244,1.0288,0.77383,0.79342,0.77775,0.5346,1.18579,1.00612,1.16936,0.0071092,0.0071092,0.0071092
148,7177.58,0.89673,0.57088,1.03674,0.77195,0.79263,0.77827,0.53651,1.18811,1.01414,1.17372,0.0070894,0.0070894,0.0070894
149,7225.79,0.88865,0.55831,1.03656,0.77153,0.78811,0.77552,0.54163,1.1792,0.99085,1.17126,0.0070696,0.0070696,0.0070696
150,7274.09,0.87388,0.57668,1.02591,0.77627,0.78713,0.77668,0.54243,1.17081,0.96837,1.17057,0.0070498,0.0070498,0.0070498
151,7322.72,0.90547,0.57245,1.0354,0.77675,0.7881,0.78028,0.54381,1.16268,0.96359,1.16894,0.00703,0.00703,0.00703
